mu,std
0.02937024311428771,0.019144154844775437
0.03576065208914192,0.018850760803832134
0.04555343968259636,0.018612454532700055
0.0513670575344938,0.018469338875795358
0.05045354505725619,0.01852937364605331
,
,
0.05726081601430143,0.018346228995467537
0.06102881330622203,0.018237147566151524
0.05722665739223878,0.018223295844631324
0.05000358200718501,0.01821935137701145
0.04530781397799912,0.018330154098677377
,
,
0.04103320235093903,0.01832970807794208
0.04021657632257758,0.01821983206757697
0.04091199200272504,0.018216749188223243
0.04360504077762959,0.018219630805694775
0.04761681456108315,0.01832931231880786
,
,
0.05655748649658014,0.018329108811575852
0.05693775215317827,0.01821908441532753
0.053964621520770126,0.018215815962026642
0.04698961810102058,0.018218978537411137
0.0379674897379807,0.018328891916578514
,
,
0.0283850855820037,0.018328777788212264
0.03467895367243001,0.018218666040681394
0.04088851877040767,0.018215247934324334
0.04153187339880515,0.01821597554409015
0.036624697042601434,0.018320543760175542
,
,
0.03401935031382264,0.018331197832128686
0.03821865215810316,0.01822294547780623
0.040005644092314704,0.018217346323609326
0.03858172604533823,0.018218720654301197
0.03523679985900052,0.018328663091188968
,
,
0.03407567179055093,0.018328574665443707
0.04174219213407375,0.018218346471453813
0.04796848384077927,0.018213011556735454
0.04770467912800763,0.018214254205063347
0.04179548997899189,0.01832588072772115
,
,
0.0380787149364112,0.0183286069655471
0.04340792020297435,0.01821852330993156
0.04623566571389652,0.018215142714425214
0.04644002788642983,0.01821852622178073
0.04668896966726388,0.01832861428346761
,
,
0.04295888021015726,0.018328615773517683
0.03814126345447155,0.018218530599846735
0.03545326814632912,0.01821515041618478
0.035076951343424145,0.018218530333469752
0.034704695468915456,0.01832861313051622
,
,
0.03395482723863996,0.018328609189221336
0.03824421177463188,0.018218522332395702
0.042287996663615934,0.018215121205901477
0.043873930590694554,0.018218512086607366
0.04449771346403176,0.01832832821044897
,
,
0.062295714577220274,0.018320437218028385
0.06347499358074056,0.018215808018315065
0.05659669193056653,0.01821499486824833
0.0461453131417947,0.018218448619008575
0.0391883522357267,0.01832855914230909
,
,
0.052672059239124325,0.018325840420635585
0.053152020379664267,0.01821420296084152
0.04601764517688999,0.01821295746678077
0.03602760872205524,0.018218295640703534
0.028911408915270775,0.018328785093936824
,
,
0.023948581839325578,0.018336750355373146
0.022397937570783233,0.018220570406911194
0.018847166108038438,0.018212472895337912
0.013461109016615458,0.018168099362259698
0.009920109291533863,0.0181789812523781
,
,
0.02549387791938535,0.018155744866271088
0.026706234975648946,0.01808230484241101
0.021873409825010404,0.01808534821744995
0.014869536390773375,0.018082286367344935
0.01041565289177071,0.01815514444581449
,
,
0.017110026103721587,0.01815189283602429
0.02305741657717919,0.018079855985097825
0.028764143323195435,0.018082958757837844
0.03228680749567292,0.018079855943738028
0.03404328672098622,0.01815183718270035
,
,
0.037601033665556116,0.01815185348694947
0.03291780713104997,0.018079876184697172
0.026864667105567674,0.018082981925422292
0.0253426277386668,0.018079887813474305
0.0302190282760475,0.018151897225230015
,
,
0.049747596880890366,0.018151910968114488
0.05083972646149859,0.018081881599096968
0.04688014247923767,0.01808756568560301
0.03884125614983769,0.01808189390101266
0.03019176077604524,0.018151949642161377
,
,
0.020044366304235894,0.01815198326206399
0.022818923105962785,0.018079958998330727
0.028120806059349746,0.018083058617392695
0.03335806847743138,0.018079973325050964
0.03558805329937008,0.01815207533268682
,
,
0.027464756231943888,0.018154698148934497
0.027594120453910964,0.01808061022870891
0.03080664658208121,0.01808308899423447
0.03351575689716024,0.018080022512948175
0.03285774541809461,0.018152117894806915
,
,
0.03348733151837824,0.018154732324468834
0.0390138149604754,0.018080628729313267
0.04254145711390678,0.018083103310817115
0.042170780537227004,0.018080033369991148
0.04042740598292471,0.018152104295212405
,
,
0.0430097152522273,0.01815424397485227
0.043479452940565544,0.01808653489355473
0.04451713243964462,0.018089739160700308
0.04495528280344541,0.01808427657921223
0.04424593403825461,0.018161738935362017
,
,
0.04248467619920937,0.018152928955625498
0.038126816904547556,0.018081253518231713
0.038199893489891945,0.018083666181596788
0.04402777112360701,0.01808004067328694
0.04826871166714486,0.018152196424645748
,
,
0.040385304087509954,0.01815769162674657
0.045579859459209726,0.018086985680719384
0.04792114840998307,0.018087559924931378
0.04452765960808381,0.018082576179991535
0.040512317233002415,0.01815568818026515
,
,
0.043883229104804355,0.018157909524923754
0.04208773407061539,0.018087106972456437
0.03970135289882126,0.018087680763194947
0.03912228390673633,0.018082728046430675
0.04018064093467033,0.018155864431982083
,
,
0.04164246981864472,0.018152673353125173
0.03737917643895461,0.01808052199136479
0.028731667650652715,0.01808355317077198
0.018948368481730204,0.018082801119212347
0.014378766795980158,0.018162624232429037
,
,
0.03806596618061331,0.01815424582088458
0.04906889558946914,0.018082881907293458
0.05785509042681215,0.018086541263176808
0.06061332136841968,0.018083741866159082
0.05728720983782365,0.018157652812420672
,
,
0.046577233833591955,0.01815759583302714
0.04251219213740576,0.018082712541495648
0.03789607301231945,0.018085144577468373
0.03437794340521794,0.018082467385286374
0.032803519698079264,0.018156504106075146
,
,
0.04077620678820715,0.018159051451615074
0.04683517373350066,0.018086279446207294
0.051466753870264,0.018172436952274905
