"","fullbayes","ife","tfe","cmgp","bgsc"
"RMSE",0.01293,0.21801,0.20317,0.03489,0.06177
"COVERAGE",0.9,0.15,0.05,1,1
"LL",1.66773,-11.07219,-12.73512,1.91953,1.32314
