mu,std
9.27431811403835e-05,5.15491285168922e-05
0.00450671381190928,0.0024039085550936
0.0164241558425997,0.00841525550615636
0.0312790217532101,0.0154129903262525
0.0458946587475095,0.0217825774399074
0.0590443932390553,0.027043994499603
0.0703955618891031,0.0311895955509641
0.0799560903236573,0.0343666656280711
0.0878463416583931,0.0367556166140575
0.094210374275954,0.0385268129577029
0.0991832025394273,0.0398268125359464
0.102880221611528,0.0407750814152728
0.105395171184414,0.041464059848298
0.106801105466237,0.0419600140931988
0.107152118639148,0.0423038697898274
0.106582137219771,0.0425506802769105
0.105770384275604,0.0429621319794037
0.104845209132903,0.0435801236757032
0.103809814710206,0.0443933811618575
0.10266774081192,0.0453877569545853
