mu,std
5.96477207679792e-05,1.09930552614589e-05
0.00363858019362566,0.000649469657509325
0.0142794696897794,0.00247150703369101
0.0281872154258958,0.0047374035937284
0.0422234404668201,0.00690248120374697
0.055046281578051,0.00876983675289478
0.0662303873236559,0.0103066574382061
0.075728302442594,0.0115411300046106
0.0836313785451034,0.01251918336325
0.0900708870200817,0.0132877447997399
0.0951787753665249,0.0138887144982167
0.0990733061750672,0.0143571273640453
0.101854923724501,0.0147208731899732
0.103606139373836,0.0150009311331606
0.104392791294161,0.0152117181731827
0.104265560101609,0.0153614105848193
0.103375925124669,0.0154693513567638
0.102313380688017,0.0156192876517976
0.10116013947675,0.015820760108337
0.0999197406038819,0.0160710278118379
