mu,std
-0.0269864286340938,0.030715511943424756
-0.007727214240730973,0.030675472184377328
-0.004801404312820523,0.03067581309680677
0.004382404942104282,0.030633195679233956
0.006818169363032212,0.03062699092082187
0.02229323490525227,0.03065118923523866
0.029851638870847335,0.030705935858195088
0.040290358222046053,0.030610071316797598
0.04802692598811215,0.030627509294459735
0.052453328572300964,0.030674452000945363
0.07294265495159682,0.030658035527239978
0.07456897796982957,0.030620419987061165
0.08470252194953597,0.030687078885536543
0.09795953587939342,0.030692665997455192
0.11071773810144805,0.030697694648404817
0.12086544972977814,0.030717054756741715
0.1271488263692542,0.030754922117226993
0.13040840189120598,0.0308549978534309
0.14707880279444605,0.030841276650241008
0.15224863833839966,0.031061815493315086
