"","fullbayes","ife","tfe","cmgp","bgsc"
"RMSE",0.02992,0.12122,0.12122,0.05915,0.08653
"COVERAGE",1,NA,NA,1,1
"LL",2.1503,NA,NA,1.31321,1.01993
