"mu","std"
0.0261252540402044,NA
0.0185255751389762,NA
0.0834851540814483,NA
0.0588050075883453,1.57359710579413e-09
0.0913808434417819,NA
-0.00870681648876074,2.21005735679301e-11
0.126585941977577,NA
0.300872136485424,2.44068540887969e-10
0.180488955960356,NA
0.286562248946962,NA
-0.165181641208413,NA
0.29878389564475,NA
-0.0288911195675605,NA
-4.19855020470012e-06,NA
-0.0282256726314568,NA
0.113909197778605,1.83205774813827e-10
0.14340739912337,3.31048029125701e-10
0.179452507389461,1.12321416340213e-09
0.141374769381909,NA
0.265641939383745,NA
