"","fullbayes","ife","tfe","cmgp","bgsc"
"RMSE",0.01404,0.07057,0.05429,0.02919,0.0375
"COVERAGE",0.85,0.75,0.75,0.9,1
"LL",2.46243,0.74114,1.2807,2.11377,1.83645
