mu,std
9.34300484432317e-05,0.000235055847452848
0.00291636715216633,0.00362925056512868
0.0109275859143105,0.0108458197129298
0.0220161757276257,0.0198047013296198
0.0339163908835958,0.029056050505019
0.0453651067695516,0.0378365386130263
0.0557843479928225,0.0457892566477177
0.0649548229517458,0.0527764215645791
0.0728307411362657,0.0587735446333577
0.0794450373944961,0.0638137111966964
0.0848695258406431,0.0679558900247246
0.0891933555539638,0.0712679389532078
0.0925214271909504,0.0738267866053338
0.0949571294216471,0.0757028617714554
0.0966092594065045,0.0769784177851115
0.0975929076805504,0.0777447679542725
0.0980098987609703,0.0780868861368167
0.0979457480695395,0.078077621748626
0.0974675295185809,0.0777708824690143
0.0966511342595907,0.0772393038955821
