"mu","std"
-0.0200123517913512,0.0488510135363826
0.0303473174389268,0.0517668618775585
-0.0460854395776868,0.0487575177680635
0.0299153735843879,0.0491738324130151
0.0743351076955069,0.0492479099177292
0.0553242885060858,0.0477227572528965
0.145975568171421,0.0486326525152445
0.117040448955032,0.0487637525068468
0.0428569255694026,0.0484685962196348
0.0906472333285284,0.0486786133409159
0.0399057797746089,0.0527127272396814
0.0424691245482882,0.0496868150789869
0.078977200589405,0.0491875334104748
0.0540155272842612,0.0501980558146857
0.114468562942108,0.049343058254815
0.130932244057706,0.0486213948439797
0.136900721396604,0.0476690985479308
0.152903208223508,0.0502143669002606
0.126327085333743,0.050319254645153
0.109190071913462,0.0484414343660157
