mu,std
0.000192968606574577,0.000512623119612033
0.00374568940155928,0.00502693881220438
0.0119255632033398,0.0118867234684237
0.0221434084099954,0.0186246587508463
0.0324459948763587,0.0244610563988979
0.0419129146521953,0.0292659396400113
0.0502028038875373,0.0331050738381282
0.0572406380977283,0.0360931857677133
0.0630719753690538,0.0383584657068211
0.0678090772913963,0.0400363498708221
0.0715843665187472,0.0412464593610606
0.074520331088352,0.0420785103736294
0.0767370268106751,0.0426093084997078
0.0783466347861259,0.0429112369890906
0.0794390870831419,0.0430401783722555
0.0801003705872041,0.0430472668848574
0.0804070116528059,0.0429736592753193
0.0804143983672862,0.0428468042212208
0.0801740355592626,0.0426934274252407
0.0797270544090847,0.0425349672547625
