mu,std
0.000279050993558476,0.00102312428620782
0.00407049189974777,0.00749216541755742
0.0117232903276394,0.0164541342569287
0.0206951306661466,0.0251220176908967
0.0294186588852167,0.0326313978525146
0.0372318821097919,0.0388401075831816
0.0439256540433212,0.0438411185650695
0.0494812348138323,0.0477837294527184
0.0539752302251161,0.0508508338005014
0.0575169599683819,0.0532081449852612
0.0602127616787617,0.054991554971588
0.0621783174973321,0.056332612397057
0.063533466813078,0.0573524529815572
0.0643885117934302,0.0581560241790691
0.0648336318318403,0.0588265072421253
0.0649414217733205,0.0594320660917161
0.0647734550942646,0.0600327719117625
0.0643797940431821,0.0606807570191918
0.0638022407139021,0.0614251756481521
0.0630767414923548,0.0623109332428735
